2021-09-25 20:14:46.925 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [Weight]
2021-09-25 20:14:46.926 [main] INFO  o.s.c.gateway.route.RouteDefinitionRouteLocator - Loaded RoutePredicateFactory [CloudFoundryRouteService]
2021-09-25 20:14:47.112 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 注入主数据源
2021-09-25 20:14:47.258 [main] INFO  c.hzl.cloud.config.mybatis.MasterDataSourceConfig - 启动单数据源
2021-09-25 20:14:47.271 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-0} closing ...
2021-09-25 20:14:47.302 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLoggingListener - 

Error starting ApplicationContext. To display the conditions report re-run your application with 'debug' enabled.
2021-09-25 20:17:53.006 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-09-25 20:17:53.056 [main] INFO  com.hzl.gateway.GatewayApplication - Starting GatewayApplication using Java 1.8.0_202 on hzldeMacBook-Pro.local with PID 88867 (/Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway/target/classes started by hzl in /Users/hzl/Desktop/hadoopcloud/hadoop-cloud-gateway)
2021-09-25 20:17:53.064 [main] INFO  com.hzl.gateway.GatewayApplication - The following profiles are active: local
2021-09-25 20:17:54.382 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:17:54.383 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2021-09-25 20:17:54.403 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 JPA repository interfaces.
2021-09-25 20:17:54.416 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2021-09-25 20:17:54.419 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2021-09-25 20:17:54.433 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 4 ms. Found 0 Redis repository interfaces.
2021-09-25 20:17:54.698 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=39a76158-564f-304a-a579-498ebe4118bd
2021-09-25 20:17:55.018 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration' of type [org.springframework.cloud.client.loadbalancer.reactive.LoadBalancerBeanPostProcessorAutoConfiguration] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
